"PROBEID","drug","logFC","adjP","direction","gene_id"
"207535_s_at","Aripiprazole",0.761100025471258,0.00227726452539369,"Up","NFKB2"
"212937_s_at","diclofenamide",0.0664684375964185,0.0165387317682876,"Up","COL6A1"
"205445_at","Loxapine",0.0804572216376509,0.0266065605474657,"Up","PRL"
"1316_at","mebendazole",-0.0767769146463242,0.0350232461918986,"Down","THRA"
"1438_at","mebendazole",-0.205972414837021,0.01499591590085,"Down","EPHB3"
"160020_at","mebendazole",-0.219691279282638,0.0079439475807047,"Down","MMP14"
"200001_at","mebendazole",0.246942479186743,0.048089065779596,"Up","CAPNS1"
"200002_at","mebendazole",0.162846876816348,0.044440397353523,"Up","RPL35"
"200004_at","mebendazole",0.23056288043976,0.0267937232154386,"Up","EIF4G2"
"200011_s_at","mebendazole",-0.191387802083254,0.0106093798515508,"Down","ARF3"
"200017_at","mebendazole",0.0960388588222097,0.0341861450213218,"Up","RPS27A"
"200019_s_at","mebendazole",0.160020280194808,0.0197613112173012,"Up","FAU"
"200023_s_at","mebendazole",0.26072657860461,0.028183222140352,"Up","EIF3F"
"200028_s_at","mebendazole",0.18801310235311,0.0153279800548013,"Up","STARD7"
"200047_s_at","mebendazole",0.138347174660949,0.0126236239864148,"Up","YY1"
"200048_s_at","mebendazole",0.184805343239761,0.034215559979199,"Up","JTB"
"200054_at","mebendazole",0.169946048189651,0.00136598967192564,"Up","ZPR1"
"200055_at","mebendazole",0.306777591113949,0.00942534650158564,"Up","TAF10"
"200060_s_at","mebendazole",0.171575082836064,0.0442174946347496,"Up","RNPS1"
"200064_at","mebendazole",0.186296049643421,0.0107876283520403,"Up","HSP90AB1"
"200065_s_at","mebendazole",0.154747626308161,0.0229646187735214,"Up","ARF1"
"200066_at","mebendazole",-0.283985003427494,0.000515653177358048,"Down","IK"
"200079_s_at","mebendazole",0.15922673774407,0.0250595230161368,"Up","KARS1"
"200085_s_at","mebendazole",-0.333137703606404,0.00268236588552515,"Down","ELOB"
"200607_s_at","mebendazole",-0.326153465322714,0.00412775727693888,"Down","RAD21"
"200608_s_at","mebendazole",-0.244533909400688,0.00248643914953544,"Down","RAD21"
"200609_s_at","mebendazole",0.476900367973167,9.58040765288964e-07,"Up","WDR1"
"200611_s_at","mebendazole",0.454251099614453,5.17861083488409e-06,"Up","WDR1"
"200613_at","mebendazole",0.178302854284291,0.043411657178404,"Up","AP2M1"
"200618_at","mebendazole",0.265515399011808,0.0248524014460653,"Up","LASP1"
"200621_at","mebendazole",1.31587491683542,4.24510946321954e-17,"Up","CSRP1"
"200625_s_at","mebendazole",0.257465950779408,0.00160017191289477,"Up","CAP1"
"200627_at","mebendazole",0.196121865922607,0.0361670148583075,"Up","PTGES3"
"200630_x_at","mebendazole",0.380643420765057,0.012604129204097,"Up","SET"
"200631_s_at","mebendazole",0.332317602436574,0.000238883134852779,"Up","SET"
"200642_at","mebendazole",0.243146745433461,0.00186716796255823,"Up","SOD1"
"200646_s_at","mebendazole",-0.240826533354637,0.0156550086838912,"Down","NUCB1"
"200649_at","mebendazole",-0.279313262117181,0.0109894485555552,"Down","NUCB1"
"200658_s_at","mebendazole",0.201399878123598,0.011771308442433,"Up","PHB1"
"200659_s_at","mebendazole",0.253491573331891,0.00302743491253937,"Up","PHB1"
"200662_s_at","mebendazole",0.34304433877217,0.0088951466400588,"Up","TOMM20"
"200664_s_at","mebendazole",0.441443744504316,3.92326637962196e-06,"Up","DNAJB1"
"200666_s_at","mebendazole",0.442640163840254,2.89427760508009e-07,"Up","DNAJB1"
"200670_at","mebendazole",0.44510151288575,4.99038073857325e-05,"Up","XBP1"
"200672_x_at","mebendazole",0.26206328927918,0.0495336397980374,"Up","SPTBN1"
"200673_at","mebendazole",-0.236420867971951,0.0112645680060216,"Down","LAPTM4A"
"200676_s_at","mebendazole",0.156718096374247,0.0432921726620828,"Up","UBE2L3"
"200695_at","mebendazole",-0.122420853123373,0.0411035955803346,"Down","PPP2R1A"
"200698_at","mebendazole",0.319209687708288,1.41324058048114e-06,"Up","KDELR2"
"200699_at","mebendazole",0.2004249848713,0.0224734570002549,"Up","KDELR2"
"200704_at","mebendazole",0.27864448406815,0.0408480648868722,"Up","LITAF"
"200706_s_at","mebendazole",0.349732866683059,0.0127793320628774,"Up","LITAF"
"200708_at","mebendazole",0.184344491181565,0.0411315193487384,"Up","GOT2"
"200713_s_at","mebendazole",0.245835414270437,0.00274779363806434,"Up","MAPRE1"
"200715_x_at","mebendazole",-0.164695157278738,0.0167031998093702,"Down","RPL13A"
"200724_at","mebendazole",-0.0922834247239469,0.0412755581334526,"Down","RPL10"
"200732_s_at","mebendazole",0.270508107007893,0.0395509014454031,"Up","PTP4A1"
"200734_s_at","mebendazole",-0.262975712074032,0.00177503476946496,"Down","ARF3"
"200736_s_at","mebendazole",0.304179130280568,0.0171827543892077,"Up","GPX1"
"200744_s_at","mebendazole",0.316652018177994,0.00158015989185846,"Up","GNB1"
"200745_s_at","mebendazole",0.306670876697911,0.000847573949036836,"Up","GNB1"
"200746_s_at","mebendazole",0.248803179440607,0.00080866606899871,"Up","GNB1"
"200747_s_at","mebendazole",-0.20455287581144,0.00490126382171325,"Down","NUMA1"
"200749_at","mebendazole",0.724039518389098,2.35286752701433e-14,"Up","RAN"
"200750_s_at","mebendazole",0.294944448962624,0.00208829854855752,"Up","RAN"
"200755_s_at","mebendazole",0.253391157678012,0.0136424484618171,"Up","CALU"
"200756_x_at","mebendazole",0.197666386320712,0.0124887945000383,"Up","CALU"
"200757_s_at","mebendazole",0.217547856319998,0.0106500793838964,"Up","CALU"
"200761_s_at","mebendazole",-0.303112143533623,0.0022986088712706,"Down","ARL6IP5"
