"PROBEID","drug","logFC","adjP","direction","gene_id"
"204226_at","alpha-ergocryptine",-0.261530469994399,0.0129339137838451,"Down","STAU2"
"208190_s_at","alpha-ergocryptine",0.482966828516784,0.0493888098801609,"Up","LSR"
"219520_s_at","alpha-ergocryptine",-0.341013817055232,0.0201117852037122,"Down","WWC3"
"219952_s_at","alpha-ergocryptine",0.392737744894694,0.0129339137838451,"Up","MCOLN1"
"206884_s_at","Amoxapine",0.0718495109337879,0.000347584664472345,"Up","SCEL"
"202093_s_at","dihydroergocristine",0.573150382736427,0.0140299987418209,"Up","PAF1"
"203355_s_at","dihydroergocristine",-0.590792348748758,0.00904114825096902,"Down","PSD3"
"204039_at","dihydroergocristine",0.331037659221553,0.046542723290742,"Up","CEBPA"
"204089_x_at","dihydroergocristine",0.400054982659188,0.041827394037748,"Up","MAP3K4"
"204458_at","dihydroergocristine",0.548504630442272,0.00904114825096902,"Up","PLA2G15"
"205278_at","dihydroergocristine",-0.343272576810403,0.0449794062146079,"Down","GAD1"
"205565_s_at","dihydroergocristine",-0.203368756008509,0.046542723290742,"Down","FXN"
"206385_s_at","dihydroergocristine",-0.414425507991855,0.046542723290742,"Down","ANK3"
"206552_s_at","dihydroergocristine",-0.408038670304602,0.0326227761761392,"Down","TAC1"
"206658_at","dihydroergocristine",0.0501418760693775,0.0326227761761392,"Up","UPK3B"
"208606_s_at","dihydroergocristine",0.0623037574394707,0.00904114825096902,"Up","WNT4"
"209708_at","dihydroergocristine",-0.385930147543058,0.046542723290742,"Down","MOXD1"
"211019_s_at","dihydroergocristine",0.312717709851486,0.00904114825096902,"Up","LSS"
"213353_at","dihydroergocristine",-0.284423169175215,0.0326227761761392,"Down","ABCA5"
"215649_s_at","dihydroergocristine",0.150464526474351,0.046542723290742,"Up","MVK"
"215983_s_at","dihydroergocristine",-0.222135359340958,0.046542723290742,"Down","UBXN8"
"218613_at","dihydroergocristine",-0.447146173028045,0.00904114825096902,"Down","PSD3"
"222171_s_at","dihydroergocristine",-0.192393411731131,0.0236413009924195,"Down","PKNOX2"
"33814_at","dihydroergocristine",0.216345494943926,0.0330506376190883,"Up","PAK4"
"63305_at","dihydroergocristine",-0.18408475381283,0.0330506376190883,"Down","PKNOX2"
"212986_s_at","diltiazem",-0.386618532832137,0.00551875247686291,"Down","TLK2"
"212997_s_at","diltiazem",-0.778022398324696,0.0060780456442072,"Down","TLK2"
"214966_at","diltiazem",-0.213721069283226,0.00551875247686291,"Down","GRIK5"
"210644_s_at","Loxapine",0.0463112975833652,0.0168769014751003,"Up","LAIR1"
"220180_at","Loxapine",0.0497315995088565,0.0168769014751003,"Up","CCDC68"
"1007_s_at","mebendazole",-0.31256152070588,0.003439287517342,"Down","DDR1"
"1316_at","mebendazole",-0.0749500886196902,0.0368615513298766,"Down","THRA"
"1487_at","mebendazole",0.131627202890545,0.0128302026254198,"Up","ESRRA"
"160020_at","mebendazole",-0.171457968986571,0.021685564095035,"Down","MMP14"
"200019_s_at","mebendazole",0.159484650244956,0.00806560508338337,"Up","FAU"
"200020_at","mebendazole",-0.219434661438779,0.00633315826260112,"Down","TARDBP"
"200028_s_at","mebendazole",0.244214790071579,2.46534817887526e-05,"Up","STARD7"
"200033_at","mebendazole",-0.267150034704698,0.0158702022919759,"Down","DDX5"
"200034_s_at","mebendazole",-0.11730642693934,0.0258353031530532,"Down","RPL6"
"200037_s_at","mebendazole",-0.162511955364727,0.00711641878469522,"Down","CBX3"
"200040_at","mebendazole",-0.210688201010291,0.00499778222385072,"Down","KHDRBS1"
"200047_s_at","mebendazole",0.13325461685582,0.016394315410807,"Up","YY1"
"200049_at","mebendazole",-0.251558886156895,0.000722775578152099,"Down","KAT7"
"200054_at","mebendazole",0.182718681244538,0.000155742552577397,"Up","ZPR1"
"200055_at","mebendazole",0.247844507971849,0.0128336480585101,"Up","TAF10"
"200057_s_at","mebendazole",-0.266239121919583,0.000156692394686538,"Down","NONO"
"200058_s_at","mebendazole",-0.198223005906954,0.00237121686306805,"Down","SNRNP200"
"200066_at","mebendazole",-0.281889399249437,0.000115460319209215,"Down","IK"
"200072_s_at","mebendazole",-0.208406229704945,0.0370479951209222,"Down","HNRNPM"
"200073_s_at","mebendazole",-0.3305815401162,2.77800207184743e-05,"Down","HNRNPD"
"200075_s_at","mebendazole",0.345588383273428,0.00101120376081258,"Up","GUK1"
"200079_s_at","mebendazole",0.169227041176344,0.005878514442399,"Up","KARS1"
"200080_s_at","mebendazole",-0.194668580661689,0.0261539089815374,"Down","H3-3A"
"200085_s_at","mebendazole",-0.199483354738795,0.0472241275298633,"Down","ELOB"
"200093_s_at","mebendazole",0.246278344522028,0.00922282204094318,"Up","HINT1"
"200593_s_at","mebendazole",-0.239723315825835,0.0371108896559203,"Down","HNRNPU"
"200594_x_at","mebendazole",-0.204779486253523,0.00631658780981341,"Down","HNRNPU"
"200604_s_at","mebendazole",-0.307819842463287,0.00281157611326223,"Down","PRKAR1A"
"200607_s_at","mebendazole",-0.296103044427553,0.00290363913102664,"Down","RAD21"
"200609_s_at","mebendazole",0.220032712305666,0.0321054129432386,"Up","WDR1"
"200611_s_at","mebendazole",0.227406898480102,0.0255642843976652,"Up","WDR1"
"200615_s_at","mebendazole",-0.242232233448528,0.0110441344433352,"Down","AP2B1"
"200617_at","mebendazole",-0.204593265688278,0.0466063443040398,"Down","MLEC"
"200621_at","mebendazole",1.46217870254742,1.6601518505003e-25,"Up","CSRP1"
"200624_s_at","mebendazole",-0.15016537181957,0.04358545203188,"Down","MATR3"
"200625_s_at","mebendazole",0.191500607166816,0.0106200458124003,"Up","CAP1"
"200628_s_at","mebendazole",0.319480805893721,0.0128302026254198,"Up","WARS1"
"200629_at","mebendazole",0.350982515594419,0.00588256293934991,"Up","WARS1"
"200632_s_at","mebendazole",0.229958286537254,0.0165743594004405,"Up","NDRG1"
"200634_at","mebendazole",0.211438914645368,0.0451839888380967,"Up","PFN1"
"200638_s_at","mebendazole",-0.208723146095164,0.019359561054192,"Down","YWHAZ"
"200642_at","mebendazole",0.200864830861717,0.0121033829696241,"Up","SOD1"
"200659_s_at","mebendazole",0.174872073134517,0.0155250983729229,"Up","PHB1"
"200664_s_at","mebendazole",0.428286522683071,1.57847699267019e-05,"Up","DNAJB1"
"200666_s_at","mebendazole",0.446507086397851,6.74685520205671e-09,"Up","DNAJB1"
"200670_at","mebendazole",0.330111342574071,0.00221355023310541,"Up","XBP1"
"200676_s_at","mebendazole",0.172626599455003,0.0112595715981645,"Up","UBE2L3"
"200679_x_at","mebendazole",-0.245121962311821,0.00696799547565304,"Down","HMGB1"
"200680_x_at","mebendazole",-0.141079941222812,0.0202842233033908,"Down","HMGB1"
"200684_s_at","mebendazole",0.12685822825244,0.0389134859171142,"Up","UBE2L3"
"200687_s_at","mebendazole",-0.172466832471165,0.00465039865823374,"Down","SF3B3"
"200698_at","mebendazole",0.187731212271815,0.0067250064796348,"Up","KDELR2"
"200704_at","mebendazole",0.354498752369552,0.0080507633094087,"Up","LITAF"
"200705_s_at","mebendazole",0.174741885393714,0.0353904852096385,"Up","EEF1B2"
"200706_s_at","mebendazole",0.367539606262079,0.0108356403899021,"Up","LITAF"
"200721_s_at","mebendazole",-0.116729728517091,0.027815115954183,"Down","ACTR1A"
"200736_s_at","mebendazole",0.369887382284063,0.00202509151594804,"Up","GPX1"
"200747_s_at","mebendazole",-0.17350501621758,0.0212149681268028,"Down","NUMA1"
"200749_at","mebendazole",0.543680993626829,3.87679969315873e-09,"Up","RAN"
"200760_s_at","mebendazole",-0.30695163479825,0.00711509871476364,"Down","ARL6IP5"
"200761_s_at","mebendazole",-0.263147846562304,0.00461950314803192,"Down","ARL6IP5"
"200765_x_at","mebendazole",-0.217703325650242,0.0444899115887433,"Down","CTNNA1"
"200767_s_at","mebendazole",-0.162203312494614,0.0231669079370618,"Down","FAM120A"
"200771_at","mebendazole",-0.325541802513263,0.0181632785694012,"Down","LAMC1"
"200775_s_at","mebendazole",-0.207000220252896,0.0325665128223029,"Down","HNRNPK"
"200777_s_at","mebendazole",0.30270259153547,0.00262690597318687,"Up","BZW1"
"200779_at","mebendazole",0.315334298004961,0.000883598216566302,"Up","ATF4"
"200782_at","mebendazole",0.305914364706298,0.0218854826698768,"Up","ANXA5"
"200783_s_at","mebendazole",-0.204269868843782,0.0299689138611023,"Down","STMN1"
"200784_s_at","mebendazole",-0.150072877628048,0.0427411442297722,"Down","LRP1"
"200787_s_at","mebendazole",0.46937442186019,0.0035983985042655,"Up","PEA15"
"200788_s_at","mebendazole",0.473515426250015,4.11640948611639e-07,"Up","PEA15"
"200791_s_at","mebendazole",0.225701006467029,0.0367569262848236,"Up","IQGAP1"
"200793_s_at","mebendazole",-0.21372582957385,0.00872220034232112,"Down","ACO2"
"200796_s_at","mebendazole",0.380008738336883,0.00167002734567129,"Up","MCL1"
"200797_s_at","mebendazole",0.211116350167407,0.0402031404171505,"Up","MCL1"
"200798_x_at","mebendazole",0.383091174743657,0.00702162320753226,"Up","MCL1"
"200799_at","mebendazole",0.294423831857236,0.00631222840532219,"Up","HSPA1A"
"200800_s_at","mebendazole",0.262015852384631,0.0300289499261713,"Up","HSPA1A"
"200802_at","mebendazole",0.275014203684499,0.00966360132338112,"Up","SARS1"
"200805_at","mebendazole",-0.197194449279287,0.00703510646567299,"Down","LMAN2"
"200806_s_at","mebendazole",0.42086731947556,0.000159949498565914,"Up","HSPD1"
"200807_s_at","mebendazole",0.252783458837504,0.0117833092096782,"Up","HSPD1"
"200808_s_at","mebendazole",0.661898595471387,9.9551106979146e-10,"Up","ZYX"
"200815_s_at","mebendazole",-0.175490836374771,0.0248450636508688,"Down","PAFAH1B1"
"200823_x_at","mebendazole",0.225336645630485,0.00139960301239977,"Up","RPL29"
"200827_at","mebendazole",0.141737095945297,0.0388123474661466,"Up","PLOD1"
