"Sample_geo_accession","Sample_status","Sample_submission_date","Sample_last_update_date","Sample_type","Sample_channel_count","Sample_source","Sample_organism","Sample_perturbagen","Sample_dosage","Sample_batch","Sample_duration","Sample_perturbagen_type","Sample_well_id","Sample_plate_id","Sample_molecule","Sample_extract_protocol","Sample_label","Sample_label_protocol","Sample_taxid","Sample_hyb_protocol","Sample_scan_protocol","Sample_description","Sample_data_processing"
"GSM3363001","Public on Oct 31 2018","Aug 30 2018","Oct 31 2018","RNA",1,"hiPSC_control","Homo sapiens","dihydroergocristine","1_uM","MSA101_A","duration: 6_hours","perturbation type: test","well id: A03","plate id: MSA101","total RNA","Cells were lysed with cell lysis buffer (110 µL per well), and stored at -80⁰C","biotin","mRNA is reverse transcribed and the cDNA product PCR amplified using primers that contain contiguous sequence (barcode) complementary to each L1000 gene; in addition, the upstream primer is biotinylated to enable identification of amplicon-bound beads.",9606,"PCR amplicon of each gene is hybridized to barcoded Luminex beads. The barcode incorporated in each amplicon is complementary to a barcode on a Luminex bead, ensuring that each gene from the original lysate mRNA is represented by an amplicon bound to a specific bead.","Luminex scanners detect individual beads by color, then measure the fluorescent intensity of the SAPE molecules attached to the biotin label on each amplicon-bound bead","24 hiPSC-derived NPCs and 8 CCLs were used (total: 32 cell lines). Each 96-well plate included: A1 empty well, 12 vehicle wells, and 2 positive control wells (in duplicate) per cell line (i.e., per plate). The remaining 79 wells were used for test compounds: a) phase 1 had 6/79 drugs from pilot, and 73/79 phase 1 test compounds, b) phase 2 had 6 pilot drugs re-tested, 6/73 phase 1 drugs re-tested, and 67/79 phase 2 compounds. 135 unique compounds were tested.","Raw intensity measurements are deconvoluted to provide intensity values for each landmark gene (the 978 directly measured features). Data is then normalized using a calibration curve based on invariant gene sets, and then quantile normalized."
"GSM3363002","Public on Oct 31 2018","Aug 30 2018","Oct 31 2018","RNA",1,"hiPSC_control","Homo sapiens","Chlorpromazine","0.1_uM","MSA101_A","duration: 6_hours","perturbation type: test","well id: A05","plate id: MSA101","total RNA","Cells were lysed with cell lysis buffer (110 µL per well), and stored at -80⁰C","biotin","mRNA is reverse transcribed and the cDNA product PCR amplified using primers that contain contiguous sequence (barcode) complementary to each L1000 gene; in addition, the upstream primer is biotinylated to enable identification of amplicon-bound beads.",9606,"PCR amplicon of each gene is hybridized to barcoded Luminex beads. The barcode incorporated in each amplicon is complementary to a barcode on a Luminex bead, ensuring that each gene from the original lysate mRNA is represented by an amplicon bound to a specific bead.","Luminex scanners detect individual beads by color, then measure the fluorescent intensity of the SAPE molecules attached to the biotin label on each amplicon-bound bead","24 hiPSC-derived NPCs and 8 CCLs were used (total: 32 cell lines). Each 96-well plate included: A1 empty well, 12 vehicle wells, and 2 positive control wells (in duplicate) per cell line (i.e., per plate). The remaining 79 wells were used for test compounds: a) phase 1 had 6/79 drugs from pilot, and 73/79 phase 1 test compounds, b) phase 2 had 6 pilot drugs re-tested, 6/73 phase 1 drugs re-tested, and 67/79 phase 2 compounds. 135 unique compounds were tested.","Raw intensity measurements are deconvoluted to provide intensity values for each landmark gene (the 978 directly measured features). Data is then normalized using a calibration curve based on invariant gene sets, and then quantile normalized."
"GSM3363003","Public on Oct 31 2018","Aug 30 2018","Oct 31 2018","RNA",1,"hiPSC_SZ","Homo sapiens","Chlorpromazine","0.1_uM","MSA101_B","duration: 6_hours","perturbation type: test","well id: A06","plate id: MSA101","total RNA","Cells were lysed with cell lysis buffer (110 µL per well), and stored at -80⁰C","biotin","mRNA is reverse transcribed and the cDNA product PCR amplified using primers that contain contiguous sequence (barcode) complementary to each L1000 gene; in addition, the upstream primer is biotinylated to enable identification of amplicon-bound beads.",9606,"PCR amplicon of each gene is hybridized to barcoded Luminex beads. The barcode incorporated in each amplicon is complementary to a barcode on a Luminex bead, ensuring that each gene from the original lysate mRNA is represented by an amplicon bound to a specific bead.","Luminex scanners detect individual beads by color, then measure the fluorescent intensity of the SAPE molecules attached to the biotin label on each amplicon-bound bead","24 hiPSC-derived NPCs and 8 CCLs were used (total: 32 cell lines). Each 96-well plate included: A1 empty well, 12 vehicle wells, and 2 positive control wells (in duplicate) per cell line (i.e., per plate). The remaining 79 wells were used for test compounds: a) phase 1 had 6/79 drugs from pilot, and 73/79 phase 1 test compounds, b) phase 2 had 6 pilot drugs re-tested, 6/73 phase 1 drugs re-tested, and 67/79 phase 2 compounds. 135 unique compounds were tested.","Raw intensity measurements are deconvoluted to provide intensity values for each landmark gene (the 978 directly measured features). Data is then normalized using a calibration curve based on invariant gene sets, and then quantile normalized."
"GSM3363004","Public on Oct 31 2018","Aug 30 2018","Oct 31 2018","RNA",1,"hiPSC_control","Homo sapiens","arachidonyltrifluoromethane","10_uM","MSA101_A","duration: 6_hours","perturbation type: test","well id: A07","plate id: MSA101","total RNA","Cells were lysed with cell lysis buffer (110 µL per well), and stored at -80⁰C","biotin","mRNA is reverse transcribed and the cDNA product PCR amplified using primers that contain contiguous sequence (barcode) complementary to each L1000 gene; in addition, the upstream primer is biotinylated to enable identification of amplicon-bound beads.",9606,"PCR amplicon of each gene is hybridized to barcoded Luminex beads. The barcode incorporated in each amplicon is complementary to a barcode on a Luminex bead, ensuring that each gene from the original lysate mRNA is represented by an amplicon bound to a specific bead.","Luminex scanners detect individual beads by color, then measure the fluorescent intensity of the SAPE molecules attached to the biotin label on each amplicon-bound bead","24 hiPSC-derived NPCs and 8 CCLs were used (total: 32 cell lines). Each 96-well plate included: A1 empty well, 12 vehicle wells, and 2 positive control wells (in duplicate) per cell line (i.e., per plate). The remaining 79 wells were used for test compounds: a) phase 1 had 6/79 drugs from pilot, and 73/79 phase 1 test compounds, b) phase 2 had 6 pilot drugs re-tested, 6/73 phase 1 drugs re-tested, and 67/79 phase 2 compounds. 135 unique compounds were tested.","Raw intensity measurements are deconvoluted to provide intensity values for each landmark gene (the 978 directly measured features). Data is then normalized using a calibration curve based on invariant gene sets, and then quantile normalized."
"GSM3363005","Public on Oct 31 2018","Aug 30 2018","Oct 31 2018","RNA",1,"hiPSC_SZ","Homo sapiens","arachidonyltrifluoromethane","10_uM","MSA101_B","duration: 6_hours","perturbation type: test","well id: A08","plate id: MSA101","total RNA","Cells were lysed with cell lysis buffer (110 µL per well), and stored at -80⁰C","biotin","mRNA is reverse transcribed and the cDNA product PCR amplified using primers that contain contiguous sequence (barcode) complementary to each L1000 gene; in addition, the upstream primer is biotinylated to enable identification of amplicon-bound beads.",9606,"PCR amplicon of each gene is hybridized to barcoded Luminex beads. The barcode incorporated in each amplicon is complementary to a barcode on a Luminex bead, ensuring that each gene from the original lysate mRNA is represented by an amplicon bound to a specific bead.","Luminex scanners detect individual beads by color, then measure the fluorescent intensity of the SAPE molecules attached to the biotin label on each amplicon-bound bead","24 hiPSC-derived NPCs and 8 CCLs were used (total: 32 cell lines). Each 96-well plate included: A1 empty well, 12 vehicle wells, and 2 positive control wells (in duplicate) per cell line (i.e., per plate). The remaining 79 wells were used for test compounds: a) phase 1 had 6/79 drugs from pilot, and 73/79 phase 1 test compounds, b) phase 2 had 6 pilot drugs re-tested, 6/73 phase 1 drugs re-tested, and 67/79 phase 2 compounds. 135 unique compounds were tested.","Raw intensity measurements are deconvoluted to provide intensity values for each landmark gene (the 978 directly measured features). Data is then normalized using a calibration curve based on invariant gene sets, and then quantile normalized."
"GSM3363006","Public on Oct 31 2018","Aug 30 2018","Oct 31 2018","RNA",1,"hiPSC_control","Homo sapiens","diclofenamide","10_uM","MSA101_A","duration: 6_hours","perturbation type: test","well id: A09","plate id: MSA101","total RNA","Cells were lysed with cell lysis buffer (110 µL per well), and stored at -80⁰C","biotin","mRNA is reverse transcribed and the cDNA product PCR amplified using primers that contain contiguous sequence (barcode) complementary to each L1000 gene; in addition, the upstream primer is biotinylated to enable identification of amplicon-bound beads.",9606,"PCR amplicon of each gene is hybridized to barcoded Luminex beads. The barcode incorporated in each amplicon is complementary to a barcode on a Luminex bead, ensuring that each gene from the original lysate mRNA is represented by an amplicon bound to a specific bead.","Luminex scanners detect individual beads by color, then measure the fluorescent intensity of the SAPE molecules attached to the biotin label on each amplicon-bound bead","24 hiPSC-derived NPCs and 8 CCLs were used (total: 32 cell lines). Each 96-well plate included: A1 empty well, 12 vehicle wells, and 2 positive control wells (in duplicate) per cell line (i.e., per plate). The remaining 79 wells were used for test compounds: a) phase 1 had 6/79 drugs from pilot, and 73/79 phase 1 test compounds, b) phase 2 had 6 pilot drugs re-tested, 6/73 phase 1 drugs re-tested, and 67/79 phase 2 compounds. 135 unique compounds were tested.","Raw intensity measurements are deconvoluted to provide intensity values for each landmark gene (the 978 directly measured features). Data is then normalized using a calibration curve based on invariant gene sets, and then quantile normalized."
"GSM3363007","Public on Oct 31 2018","Aug 30 2018","Oct 31 2018","RNA",1,"hiPSC_SZ","Homo sapiens","diclofenamide","10_uM","MSA101_B","duration: 6_hours","perturbation type: test","well id: A10","plate id: MSA101","total RNA","Cells were lysed with cell lysis buffer (110 µL per well), and stored at -80⁰C","biotin","mRNA is reverse transcribed and the cDNA product PCR amplified using primers that contain contiguous sequence (barcode) complementary to each L1000 gene; in addition, the upstream primer is biotinylated to enable identification of amplicon-bound beads.",9606,"PCR amplicon of each gene is hybridized to barcoded Luminex beads. The barcode incorporated in each amplicon is complementary to a barcode on a Luminex bead, ensuring that each gene from the original lysate mRNA is represented by an amplicon bound to a specific bead.","Luminex scanners detect individual beads by color, then measure the fluorescent intensity of the SAPE molecules attached to the biotin label on each amplicon-bound bead","24 hiPSC-derived NPCs and 8 CCLs were used (total: 32 cell lines). Each 96-well plate included: A1 empty well, 12 vehicle wells, and 2 positive control wells (in duplicate) per cell line (i.e., per plate). The remaining 79 wells were used for test compounds: a) phase 1 had 6/79 drugs from pilot, and 73/79 phase 1 test compounds, b) phase 2 had 6 pilot drugs re-tested, 6/73 phase 1 drugs re-tested, and 67/79 phase 2 compounds. 135 unique compounds were tested.","Raw intensity measurements are deconvoluted to provide intensity values for each landmark gene (the 978 directly measured features). Data is then normalized using a calibration curve based on invariant gene sets, and then quantile normalized."
"GSM3363008","Public on Oct 31 2018","Aug 30 2018","Oct 31 2018","RNA",1,"hiPSC_control","Homo sapiens","fendiline","10_uM","MSA101_A","duration: 6_hours","perturbation type: test","well id: A11","plate id: MSA101","total RNA","Cells were lysed with cell lysis buffer (110 µL per well), and stored at -80⁰C","biotin","mRNA is reverse transcribed and the cDNA product PCR amplified using primers that contain contiguous sequence (barcode) complementary to each L1000 gene; in addition, the upstream primer is biotinylated to enable identification of amplicon-bound beads.",9606,"PCR amplicon of each gene is hybridized to barcoded Luminex beads. The barcode incorporated in each amplicon is complementary to a barcode on a Luminex bead, ensuring that each gene from the original lysate mRNA is represented by an amplicon bound to a specific bead.","Luminex scanners detect individual beads by color, then measure the fluorescent intensity of the SAPE molecules attached to the biotin label on each amplicon-bound bead","24 hiPSC-derived NPCs and 8 CCLs were used (total: 32 cell lines). Each 96-well plate included: A1 empty well, 12 vehicle wells, and 2 positive control wells (in duplicate) per cell line (i.e., per plate). The remaining 79 wells were used for test compounds: a) phase 1 had 6/79 drugs from pilot, and 73/79 phase 1 test compounds, b) phase 2 had 6 pilot drugs re-tested, 6/73 phase 1 drugs re-tested, and 67/79 phase 2 compounds. 135 unique compounds were tested.","Raw intensity measurements are deconvoluted to provide intensity values for each landmark gene (the 978 directly measured features). Data is then normalized using a calibration curve based on invariant gene sets, and then quantile normalized."
"GSM3363009","Public on Oct 31 2018","Aug 30 2018","Oct 31 2018","RNA",1,"hiPSC_SZ","Homo sapiens","fendiline","10_uM","MSA101_B","duration: 6_hours","perturbation type: test","well id: A12","plate id: MSA101","total RNA","Cells were lysed with cell lysis buffer (110 µL per well), and stored at -80⁰C","biotin","mRNA is reverse transcribed and the cDNA product PCR amplified using primers that contain contiguous sequence (barcode) complementary to each L1000 gene; in addition, the upstream primer is biotinylated to enable identification of amplicon-bound beads.",9606,"PCR amplicon of each gene is hybridized to barcoded Luminex beads. The barcode incorporated in each amplicon is complementary to a barcode on a Luminex bead, ensuring that each gene from the original lysate mRNA is represented by an amplicon bound to a specific bead.","Luminex scanners detect individual beads by color, then measure the fluorescent intensity of the SAPE molecules attached to the biotin label on each amplicon-bound bead","24 hiPSC-derived NPCs and 8 CCLs were used (total: 32 cell lines). Each 96-well plate included: A1 empty well, 12 vehicle wells, and 2 positive control wells (in duplicate) per cell line (i.e., per plate). The remaining 79 wells were used for test compounds: a) phase 1 had 6/79 drugs from pilot, and 73/79 phase 1 test compounds, b) phase 2 had 6 pilot drugs re-tested, 6/73 phase 1 drugs re-tested, and 67/79 phase 2 compounds. 135 unique compounds were tested.","Raw intensity measurements are deconvoluted to provide intensity values for each landmark gene (the 978 directly measured features). Data is then normalized using a calibration curve based on invariant gene sets, and then quantile normalized."
"GSM3363010","Public on Oct 31 2018","Aug 30 2018","Oct 31 2018","RNA",1,"hiPSC_control","Homo sapiens","chenodeoxycholic acid","10_uM","MSA101_A","duration: 6_hours","perturbation type: test","well id: A13","plate id: MSA101","total RNA","Cells were lysed with cell lysis buffer (110 µL per well), and stored at -80⁰C","biotin","mRNA is reverse transcribed and the cDNA product PCR amplified using primers that contain contiguous sequence (barcode) complementary to each L1000 gene; in addition, the upstream primer is biotinylated to enable identification of amplicon-bound beads.",9606,"PCR amplicon of each gene is hybridized to barcoded Luminex beads. The barcode incorporated in each amplicon is complementary to a barcode on a Luminex bead, ensuring that each gene from the original lysate mRNA is represented by an amplicon bound to a specific bead.","Luminex scanners detect individual beads by color, then measure the fluorescent intensity of the SAPE molecules attached to the biotin label on each amplicon-bound bead","24 hiPSC-derived NPCs and 8 CCLs were used (total: 32 cell lines). Each 96-well plate included: A1 empty well, 12 vehicle wells, and 2 positive control wells (in duplicate) per cell line (i.e., per plate). The remaining 79 wells were used for test compounds: a) phase 1 had 6/79 drugs from pilot, and 73/79 phase 1 test compounds, b) phase 2 had 6 pilot drugs re-tested, 6/73 phase 1 drugs re-tested, and 67/79 phase 2 compounds. 135 unique compounds were tested.","Raw intensity measurements are deconvoluted to provide intensity values for each landmark gene (the 978 directly measured features). Data is then normalized using a calibration curve based on invariant gene sets, and then quantile normalized."
